Series ID,Material,Apr-2025,May 2024,Feb-2020,1Y Rolling Avg,2Y Rolling Avg,3Y Rolling Avg
CUUR0000SA0,Consumer Price Index (CPI-U),0.2088561230692454,2.354896535474671,24.272261266903246,0.1943324399806563,0.2315543141077449,0.2650817548903629
WPUFD4,Producer Price Index (PPI For Final Demand,0.0587016807573226,2.622764767757313,25.248310810810814,0.2164899332787786,0.2136067103186117,0.1723463586659704
WPUFD43,Final Demand Construction,0.2605951003628037,1.9747402334043596,37.63916730917503,0.1636394581589826,0.0436443805624409,0.3234232375151423
WPUFD431,Construction for Private Capital Investment,0.2307243312298146,1.689413789057892,40.12394149345649,0.1401832563677226,0.0246865223339327,0.3286650003327868
WPUFD432,Construction for Government ,0.3274638449615841,2.6211960473460305,33.16627996906418,0.2166508217426116,0.086665243222576,0.3180069530133929
WPU80,Construction (Partial),0.2445016865262328,2.2245679169624166,35.130713712910996,0.1840865316133662,0.0731923666116888,0.3007908965247015
WPU801,New Nonresidential Building Construction,0.2667166050948522,1.8920913924546976,38.68681318681319,0.156876761095992,0.0337301986874497,0.3341906639416686
WPU801101,New Warehouse Building Construction,-0.0265796682685892,-0.2199278602388332,43.24262899262899,-0.0182605853674143,-0.0270159943158117,0.1897228795572951
WPU801102,New School Building Construction,0.4290514118937327,2.2968606752173937,32.55997693194925,0.190492782941252,0.0598131635663102,0.3351308901216253
WPU801103,New Office Building Construction,0.4231837765207302,2.8124678732455832,44.33951890034365,0.2327505484976964,0.0398479125864659,0.4101100891052515
WPU801104,New Industrial Building Construction,0.4461853744584632,0.2994399747185738,39.88800578034681,0.0253354750914832,-0.010830498824269,0.2889090935488598
WPU801105,New Health Care Building Construction,0.0,3.1406152033895074,36.85546218487396,0.2599073721994647,0.0834307051157394,0.3731967087110374
WPU802,Maint & Repair of Nonres Buildings (Partial),0.0891860370839214,4.6603537329785505,31.219950940310714,0.3834264694311344,0.3694355120492423,0.3390320170793252
PCU23811X23811X,Concrete Contractors,0.0895255147717266,1.978186783361968,32.437500000000014,0.1637315193197893,0.1082510182226724,0.1740628193173342
PCU23816X23816X,Roofing Contractors,0.0644709440123181,3.5518863396371447,54.65232974910394,0.2927476289329276,0.184618761393677,0.6131018457587314
PCU23821X23821X,Electrical Contractors,0.0023270696375643,1.8945097155864232,32.0230414746544,0.1571158734702973,0.0467274600019088,0.3276508688053421
PCU23822X23822X,Plumbing Contractors ,0.6968582980640514,2.1120604573781065,30.352771778257736,0.1772206418427235,0.1423733233830294,0.3578442391264116
WPUIP231200,New Nonresedential Construction ,0.374456224439279,2.2244772080622477,40.887568555758676,0.1847316315569956,0.1434612996183503,-0.0103793442907941
WPU4531,Architectural Services,0.0,1.3366125822346977,9.488262910798126,0.1108361513670904,0.1366386148334938,0.1450818042247809
WPU4532,Engineering Services,0.1128248971611567,2.378512408539435,17.677100494233944,0.1969165059115272,0.2190857571806222,0.2562011954456988
WPU3012,Truck Transportation of Freight,0.0780645203260599,1.8295548568591835,22.483280254777075,0.1566266232583231,0.0697456992933752,-0.3112262514318885
WPU057303,#2 Diesel Fuel,1.836471119417871,-8.805461178742025,50.52146921883084,-0.533334190858391,-0.3923058671367673,-1.328477706123336
WPU1394,Paving Mixtures,-2.252691522772543,0.6845090491643058,18.816993464052274,0.155197618657249,0.1957821575481675,0.2777436584854138
WPU136,Asphalt Felts and Coatings,3.1288260100666543,1.9243472008698248,41.98941368078176,0.1665961748686698,0.2227579700199387,0.2420491095097768
WPU1361,Prepared Asphalt and Tar Rooging and Siding Products,3.728485606863763,1.7754270886917831,45.80863192182411,0.1578208557147362,0.269512880195849,0.2586334495242448
WPU1322,Cement,0.1355855131454086,1.9198857607296784,40.63356697819314,0.159331416920716,0.354113545777919,0.6096544376609753
WPU133,Concrete Products,0.2566476576131959,2.5097202897231385,42.140281283808136,0.2075088921127871,0.3228412335345441,0.5494988002841131
WPU1331,Concrete Block and Brick,0.0,3.4591888147121885,44.098684210526315,0.2855651394744612,0.3945585530810628,0.5852942598217533
WPU1332,Concrete Pipe,-0.1233928768885839,7.617508001754714,64.56521739130436,0.6304820862279644,0.5572989304759792,0.7969143706302698
WPU1333,Ready Mixed Concrete,0.1374841931652826,1.618507942870684,37.31938093563137,0.1350636041205018,0.3174596588547448,0.560996989475241
WPU1334,Precast Concrete Products,0.8175640921519234,4.262098980669626,44.497707231040565,0.3487788836594452,0.3124352642015493,0.456136602742553
WPU1335,Prestressed Concrete Products,0.0254712175242088,0.1450578860486606,53.64366848969291,0.0122573270057387,0.1176300317679591,0.3953792224989982
WPU1342,Brick and Structural Clay Tile,0.0,1.590520317650923,32.592902907836375,0.1318548571994408,0.2484896387111755,0.4123264651090628
WPU0721,Plastic Construction Products,-0.0413201187658196,-1.5754187021758237,47.95893403232852,-0.1316220494884371,-0.0977955449096619,-0.1131239172546696
WPU1311,Flatt Glass,0.1878584140794892,-0.5530571126723949,23.83968368080518,-0.044370044981167,0.0187877966584232,0.235009218555196
WPU13710102,Gypsum Building MAterials,0.0,1.4030358180691982,53.69437551695615,0.1171765617424214,0.2114503883617562,0.2536372526938542
WPU1392,Insulation Materials,0.5707619880848336,3.5869965563974926,48.55384615384616,0.2956067269887221,0.2903927880609507,0.4398687206206367
WPUSI004011,Lumber and Plywood,-1.2836012206046132,5.5144497421426575,28.05526688710441,0.4577891040359761,0.1062052141404285,-0.9293208567121196
WPU062101,Architectural Coatings,0.0,0.947539027855182,48.260806916426525,0.0788023413410101,0.0417220956974874,0.1290439651334071
WPU1017,Steel Mill Products,7.0770508224377915,8.842995136721111,73.4076840981857,0.7823313392875583,-0.2023329058285603,-0.6839466394310227
WPU101706,Steel Pipe and Tube,1.3442240496296387,2.086405737748387,41.86435680058974,0.190303224833152,-0.4249720305687487,-0.749111314446563
WPU102502,Copper and Brass Mill Shapes,-1.2850796674206189,-1.2600236274015075,66.54334038054971,-0.0796049711640547,0.3507211772748101,0.1005703262809943
WPU102501,Aluminum Mill Shapes,-3.6060259630860902,8.797999991511007,36.416711016498134,0.7276449292568802,0.3443171006541397,-0.2067472549280709
WPU1073,Sheet Metal Products,0.0414426896003128,2.357813157699251,51.91272393201655,0.1961392760005851,0.2015290639125681,0.1457561317349534
WPU107405,Fabricated Structural Metal,0.4937300527399824,7.069711357298969,55.23470279720279,0.5769166227491196,-0.054848967689824,-0.1587463626564592
WPU1074051,Fabricated Structural Metal Bar Joists and Rebar,-0.119600820302157,8.459830782604483,45.119555143651525,0.7069349338266399,-0.4710281393148289,-0.4069304654819954
WPU10740514,Fabricated Structural Metal for Non-Industrial Buildings,-0.107620225467353,8.732768105624222,38.04683648315528,0.74018813055027,-0.7482866461382992,-0.5598987907068526
WPU10740553,Fabricated Structural Metal for Bridges,-2.1356588423496525,-6.069947784110596,46.799253034547164,-0.4767426303052186,-0.0917054420497341,-0.1718061207853098
WPU107408,Ornamental and Architectural Metal Work,-0.3665350612995555,9.602502922126432,104.64949130292092,0.7868033362452213,0.7515396908411258,0.4986705498160512
WPU1076,Fabricated Steel Plate,0.0,12.71613560572391,70.1560931081698,1.0596779671436591,0.5298389835718296,0.326588272061289
WPU1079,Prefabricated Metal Buildings,0.9194025708949782,-0.6720297274326548,61.91652021089632,-0.0538804248941686,0.1114565206717367,-0.0097156341283482
WPU112,Construction MAchinery and Equipment,0.6750851487693499,2.031372625641925,32.48245243128965,0.1681108616764709,0.2385798145121117,0.4021597619497679
WPU07120105,Truck and Bus (Inc Off Highway) Pneumatic Tires,0.1232939864698412,1.5633411455076462,26.456330399458377,0.131276453014719,-0.0216967880119952,0.0640757097416872
WPU058102,Asphalt (At Refinery),-2.5842490198147883,-9.733737562526946,26.823409669211195,-0.6149112707034275,-0.0054224736918692,-0.7489998732283055
WPU1321,Construction and Sand/Gravel/Crushed Stone,0.1608962858342444,7.316489606445753,45.49015802606044,0.5956566760047178,0.585248499739735,0.6886353835993366
WPU1012,Iron and Steel Scrap,-8.58917945897295,-5.46672428694901,28.61180904522613,-0.3538284055967448,-0.6627302435991148,-0.9127547956576794
WPU101212,Stainless and Alloy Steel Scrap,6.159204027995724,-8.56867459889722,26.493547462001732,-0.707979872210896,-0.2151606916013299,-0.9408811414325444
WPU102301,Copper Base Scrap,1.8502068592435084,-7.532356273405627,70.62899073120494,-0.5586050038674361,0.4532912425287407,0.1762066978690512
